split,pdb_id,kinase,state,original_length,domain_length,domain_start_original_index,domain_end_original_index,kept_original_indices,removed_residues,dfg_found,alphac_found,hrd_found,lys_glu_found,accepted,discard_reason
train,1opl,ABL1,inactive,365,,,,,365,False,False,False,False,False,missing_motifs:hrd
train,2fo0,ABL1,inactive,465,,,,,465,False,False,False,False,False,missing_motifs:hrd
train,3cqu,AKT1,active,318,,,,,318,False,False,False,False,False,missing_motifs:hrd
train,3cqw,AKT1,active,318,,,,,318,False,False,False,False,False,missing_motifs:hrd
train,3mv5,AKT1,active,315,,,,,315,False,False,False,False,False,missing_motifs:hrd
train,3mvh,AKT1,active,311,,,,,311,False,False,False,False,False,missing_motifs:hrd
train,3o96,AKT1,inactive,367,,,,,367,False,False,False,False,False,missing_motifs:hrd
train,3ocb,AKT1,active,319,,,,,319,False,False,False,False,False,missing_motifs:hrd
train,3ow4,AKT1,active,317,,,,,317,False,False,False,False,False,missing_motifs:hrd
train,3qkk,AKT1,active,326,,,,,326,False,False,False,False,False,missing_motifs:hrd
train,3qkl,AKT1,active,317,,,,,317,False,False,False,False,False,missing_motifs:hrd
train,3qkm,AKT1,active,329,,,,,329,False,False,False,False,False,missing_motifs:hrd
train,4ejn,AKT1,inactive,376,,,,,376,False,False,False,False,False,missing_motifs:hrd
train,4ekk,AKT1,active,318,,,,,318,False,False,False,False,False,missing_motifs:hrd
train,4ekl,AKT1,active,329,,,,,329,False,False,False,False,False,missing_motifs:hrd
train,4f65,FGFR1,active,279,,,,,279,False,False,False,False,False,missing_motifs:dfg
train,4fny,ALK,inactive,273,,,,,273,False,False,False,False,False,missing_motifs:dfg
train,4gv1,AKT1,active,329,,,,,329,False,False,False,False,False,missing_motifs:hrd
train,4nka,FGFR1,active,287,,,,,287,False,False,False,False,False,missing_motifs:dfg
train,4v01,FGFR1,inactive,275,,,,,275,False,False,False,False,False,missing_motifs:dfg
train,5fwk,CDK4,active,209,,,,,209,False,False,False,False,False,"missing_motifs:lys,alphac"
train,5fwp,CDK4,active,209,,,,,209,False,False,False,False,False,"missing_motifs:lys,alphac"
train,5ita,BRAF,inactive,252,,,,,252,False,False,False,False,False,missing_motifs:dfg
train,5kcv,AKT1,inactive,353,,,,,353,False,False,False,False,False,missing_motifs:hrd
train,5mo4,ABL1,inactive,429,,,,,429,False,False,False,False,False,"missing_motifs:dfg,hrd"
train,6buu,AKT1,active,320,,,,,320,False,False,False,False,False,missing_motifs:hrd
train,6c0i,AKT1,active,316,,,,,316,False,False,False,False,False,missing_motifs:hrd
train,6c18,FGFR1,active,255,,,,,255,False,False,False,False,False,missing_motifs:dfg
train,6cad,BRAF,inactive,248,,,,,248,False,False,False,False,False,missing_motifs:dfg
train,6ccy,AKT1,active,325,,,,,325,False,False,False,False,False,missing_motifs:hrd
train,6edl,ALK,active,282,,,,,282,False,False,False,False,False,missing_motifs:dfg
train,6hhf,AKT1,inactive,366,,,,,366,False,False,False,False,False,missing_motifs:hrd
train,6hhg,AKT1,inactive,386,,,,,386,False,False,False,False,False,missing_motifs:hrd
train,6hhh,AKT1,inactive,379,,,,,379,False,False,False,False,False,missing_motifs:hrd
train,6hhi,AKT1,inactive,389,,,,,389,False,False,False,False,False,missing_motifs:hrd
train,6hhj,AKT1,inactive,410,,,,,410,False,False,False,False,False,missing_motifs:hrd
train,6mzw,FGFR1,active,258,,,,,258,False,False,False,False,False,missing_motifs:dfg
train,6npz,AKT1,active,320,,,,,320,False,False,False,False,False,missing_motifs:hrd
train,6p8e,CDK4,inactive,260,,,,,260,False,False,False,False,False,missing_motifs:alphac
train,6p8f,CDK4,inactive,262,,,,,262,False,False,False,False,False,missing_motifs:alphac
train,6p8g,CDK4,inactive,259,,,,,259,False,False,False,False,False,missing_motifs:alphac
train,6p8h,CDK4,inactive,258,,,,,258,False,False,False,False,False,missing_motifs:alphac
train,6s9w,AKT1,inactive,411,,,,,411,False,False,False,False,False,missing_motifs:hrd
train,6s9x,AKT1,inactive,382,,,,,382,False,False,False,False,False,missing_motifs:hrd
train,6uuo,BRAF,inactive,254,,,,,254,False,False,False,False,False,missing_motifs:dfg
train,6v2u,BRAF,inactive,255,,,,,255,False,False,False,False,False,missing_motifs:dfg
train,7apj,AKT1,inactive,385,,,,,385,False,False,False,False,False,"missing_motifs:dfg,hrd"
train,7nh4,AKT1,inactive,383,,,,,383,False,False,False,False,False,missing_motifs:hrd
train,7nh5,AKT1,inactive,383,,,,,383,False,False,False,False,False,missing_motifs:hrd
train,7syd,EGFR,inactive,614,,,,,614,False,False,False,False,False,"missing_motifs:dfg,hrd,lys,alphac"
train,7sye,EGFR,inactive,614,,,,,614,False,False,False,False,False,"missing_motifs:dfg,hrd,lys,alphac"
train,7sz0,EGFR,inactive,614,,,,,614,False,False,False,False,False,"missing_motifs:dfg,hrd,lys,alphac"
train,7sz1,EGFR,inactive,614,,,,,614,False,False,False,False,False,"missing_motifs:dfg,hrd,lys,alphac"
train,7sz5,EGFR,inactive,614,,,,,614,False,False,False,False,False,"missing_motifs:dfg,hrd,lys,alphac"
train,7sz7,EGFR,inactive,614,,,,,614,False,False,False,False,False,"missing_motifs:dfg,hrd,lys,alphac"
train,8eme,EGFR,inactive,267,,,,,267,False,False,False,False,False,"missing_motifs:dfg,hrd"
train,8qqg,BRAF,inactive,269,,,,,269,False,False,False,False,False,missing_motifs:dfg
train,8uvy,AKT1,inactive,396,,,,,396,False,False,False,False,False,missing_motifs:hrd
train,8uw2,AKT1,inactive,392,,,,,392,False,False,False,False,False,missing_motifs:hrd
train,8uw7,AKT1,inactive,397,,,,,397,False,False,False,False,False,missing_motifs:hrd
train,8uw9,AKT1,inactive,388,,,,,388,False,False,False,False,False,missing_motifs:hrd
val,2rfn,MET,inactive,268,,,,,268,False,False,False,False,False,missing_motifs:dfg
val,3c1x,MET,inactive,290,,,,,290,False,False,False,False,False,missing_motifs:dfg
val,3ctj,MET,inactive,289,,,,,289,False,False,False,False,False,missing_motifs:dfg
val,3efj,MET,inactive,276,,,,,276,False,False,False,False,False,missing_motifs:dfg
val,3efk,MET,active,276,,,,,276,False,False,False,False,False,missing_motifs:dfg
val,3u6h,MET,inactive,280,,,,,280,False,False,False,False,False,motif_outside_domain
val,5hni,MET,inactive,245,,,,,245,False,False,False,False,False,motif_outside_domain
val,5t3q,MET,inactive,278,,,,,278,False,False,False,False,False,missing_motifs:dfg
val,7b3q,MET,inactive,283,,,,,283,False,False,False,False,False,motif_outside_domain
val,7b3z,MET,inactive,277,,,,,277,False,False,False,False,False,motif_outside_domain
val,7b40,MET,inactive,279,,,,,279,False,False,False,False,False,motif_outside_domain
val,7b43,MET,inactive,277,,,,,277,False,False,False,False,False,motif_outside_domain
val,7b44,MET,inactive,282,,,,,282,False,False,False,False,False,motif_outside_domain
val,8an8,MET,inactive,244,,,,,244,False,False,False,False,False,motif_outside_domain
val,8dfm,KIT,inactive,441,,,,,441,False,False,False,False,False,"missing_motifs:dfg,hrd"
val,8dfp,KIT,inactive,438,,,,,438,False,False,False,False,False,"missing_motifs:dfg,hrd"
val,8dfq,KIT,inactive,438,,,,,438,False,False,False,False,False,"missing_motifs:dfg,hrd"
val,8pqe,KIT,inactive,277,,,,,277,False,False,False,False,False,missing_motifs:dfg
val,9c1r,MET,inactive,285,,,,,285,False,False,False,False,False,motif_outside_domain
test,2rd0,PIK3CA,active,997,,,,,997,False,False,False,False,False,missing_motifs:hrd
test,3hhm,PIK3CA,active,1032,,,,,1032,False,False,False,False,False,missing_motifs:hrd
test,3hiz,PIK3CA,active,1024,,,,,1024,False,False,False,False,False,missing_motifs:hrd
test,3zim,PIK3CA,active,886,,,,,886,False,False,False,False,False,missing_motifs:hrd
test,4jps,PIK3CA,active,999,,,,,999,False,False,False,False,False,missing_motifs:hrd
test,4l1b,PIK3CA,active,994,,,,,994,False,False,False,False,False,missing_motifs:hrd
