structure_id,pdb_id,kinase_name,kinase_family,kinase_group,species,conformational_state,dfg_state,alphac_state,ligand_present,resolution,filepath,active_expected_from_DFG_alphaC,contradiction_active_DFG_out,contradiction_active_alphaC_out,inactive_DFG_in,inactive_alphaC_in,state_disagrees_with_joint_motif_rule
1081,4twp,ABL1,Abl,TK,Human,active,in,in,1,2.4,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4twp.pdb,True,False,False,False,False,False
1057,3ue4,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.42,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3ue4.pdb,False,False,False,False,True,False
1046,3cs9,ABL1,Abl,TK,Human,inactive,out,in,1,2.21,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3cs9.pdb,False,False,False,False,True,False
1058,2hz4,ABL1,Abl,TK,Human,active,in,in,1,2.8,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hz4.pdb,True,False,False,False,False,False
1089,2g2h,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2g2h.pdb,False,False,False,False,True,False
1071,3pyy,ABL1,Abl,TK,Human,inactive,out,in,1,1.85,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3pyy.pdb,False,False,False,False,True,False
1047,3qri,ABL1,Abl,TK,Human,inactive,out,in,1,2.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3qri.pdb,False,False,False,False,True,False
1060,2gqg,ABL1,Abl,TK,Human,active,in,in,1,2.4,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2gqg.pdb,True,False,False,False,False,False
1061,4wa9,ABL1,Abl,TK,Human,inactive,out-like,na,1,2.2,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4wa9.pdb,False,False,False,False,False,False
1072,2v7a,ABL1,Abl,TK,Human,active,in,in,1,2.5,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2v7a.pdb,True,False,False,False,False,False
1048,2hyy,ABL1,Abl,TK,Human,inactive,out,in,1,2.4,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hyy.pdb,False,False,False,False,True,False
1109,2hz0,ABL1,Abl,TK,Human,inactive,out,in,1,2.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hz0.pdb,False,False,False,False,True,False
1082,2gqg,ABL1,Abl,TK,Human,active,in,in,1,2.4,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2gqg.pdb,True,False,False,False,False,False
1062,3pyy,ABL1,Abl,TK,Human,inactive,out,in,1,1.85,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3pyy.pdb,False,False,False,False,True,False
