split,pdb_id,kinase,state,original_length,domain_length,domain_start_original_index,domain_end_original_index,kept_original_indices,removed_residues,dfg_found,alphac_found,hrd_found,lys_glu_found,accepted,discard_reason
test,2rd0,PIK3CA,active,997,,,,,997,False,False,False,False,False,missing_motifs:hrd
test,3hhm,PIK3CA,active,1032,,,,,1032,False,False,False,False,False,missing_motifs:hrd
test,3hiz,PIK3CA,active,1024,,,,,1024,False,False,False,False,False,missing_motifs:hrd
test,3zim,PIK3CA,active,886,,,,,886,False,False,False,False,False,missing_motifs:hrd
test,4jps,PIK3CA,active,999,,,,,999,False,False,False,False,False,missing_motifs:hrd
test,4l1b,PIK3CA,active,994,,,,,994,False,False,False,False,False,missing_motifs:hrd
test,4l23,PIK3CA,active,1014,,,,,1014,False,False,False,False,False,missing_motifs:hrd
test,4l2y,PIK3CA,active,991,,,,,991,False,False,False,False,False,missing_motifs:hrd
test,4ovu,PIK3CA,active,1044,,,,,1044,False,False,False,False,False,missing_motifs:hrd
test,4ovv,PIK3CA,active,1042,,,,,1042,False,False,False,False,False,missing_motifs:hrd
test,4tuu,PIK3CA,active,879,,,,,879,False,False,False,False,False,missing_motifs:hrd
test,4tv3,PIK3CA,active,879,,,,,879,False,False,False,False,False,missing_motifs:hrd
test,4waf,PIK3CA,active,1017,,,,,1017,False,False,False,False,False,missing_motifs:hrd
test,4ykn,PIK3CA,active,1205,,,,,1205,False,False,False,False,False,missing_motifs:hrd
test,4zop,PIK3CA,active,1000,,,,,1000,False,False,False,False,False,missing_motifs:hrd
test,5dxh,PIK3CA,active,981,,,,,981,False,False,False,False,False,missing_motifs:hrd
test,5dxt,PIK3CA,active,879,,,,,879,False,False,False,False,False,missing_motifs:hrd
test,5fi4,PIK3CA,active,1009,,,,,1009,False,False,False,False,False,missing_motifs:hrd
test,5itd,PIK3CA,active,995,,,,,995,False,False,False,False,False,missing_motifs:hrd
test,5sw8,PIK3CA,active,1030,,,,,1030,False,False,False,False,False,missing_motifs:hrd
test,5swg,PIK3CA,active,1041,,,,,1041,False,False,False,False,False,missing_motifs:hrd
test,5swo,PIK3CA,active,1050,,,,,1050,False,False,False,False,False,missing_motifs:hrd
test,5swp,PIK3CA,active,1058,,,,,1058,False,False,False,False,False,missing_motifs:hrd
test,5swr,PIK3CA,active,1051,,,,,1051,False,False,False,False,False,missing_motifs:hrd
test,5swt,PIK3CA,active,1057,,,,,1057,False,False,False,False,False,missing_motifs:hrd
test,5sx8,PIK3CA,active,1052,,,,,1052,False,False,False,False,False,missing_motifs:hrd
test,5sx9,PIK3CA,active,1044,,,,,1044,False,False,False,False,False,missing_motifs:hrd
test,5sxa,PIK3CA,active,1049,,,,,1049,False,False,False,False,False,missing_motifs:hrd
test,5sxb,PIK3CA,active,1056,,,,,1056,False,False,False,False,False,missing_motifs:hrd
test,5sxc,PIK3CA,active,1038,,,,,1038,False,False,False,False,False,missing_motifs:hrd
test,5sxd,PIK3CA,active,1049,,,,,1049,False,False,False,False,False,missing_motifs:hrd
test,5sxe,PIK3CA,inactive,1046,,,,,1046,False,False,False,False,False,missing_motifs:hrd
test,5sxf,PIK3CA,active,1023,,,,,1023,False,False,False,False,False,missing_motifs:hrd
test,5sxi,PIK3CA,active,1040,,,,,1040,False,False,False,False,False,missing_motifs:hrd
test,5sxj,PIK3CA,active,1039,,,,,1039,False,False,False,False,False,missing_motifs:hrd
test,5sxk,PIK3CA,active,1053,,,,,1053,False,False,False,False,False,missing_motifs:hrd
test,5ubr,PIK3CA,active,887,,,,,887,False,False,False,False,False,missing_motifs:hrd
test,5uk8,PIK3CA,active,1008,,,,,1008,False,False,False,False,False,missing_motifs:hrd
test,5ukj,PIK3CA,active,1009,,,,,1009,False,False,False,False,False,missing_motifs:hrd
test,5ul1,PIK3CA,active,1000,,,,,1000,False,False,False,False,False,missing_motifs:hrd
test,5xgh,PIK3CA,active,993,,,,,993,False,False,False,False,False,missing_motifs:hrd
test,5xgi,PIK3CA,active,1013,,,,,1013,False,False,False,False,False,missing_motifs:hrd
test,5xgj,PIK3CA,active,980,,,,,980,False,False,False,False,False,missing_motifs:hrd
test,6gvf,PIK3CA,active,910,,,,,910,False,False,False,False,False,missing_motifs:hrd
