split,pdb_id,kinase,state,motif_descriptor,chain,chains_in_pdb,residues,missing_internal_ids,dfg_found,hrd_found,vaik_lys_found,alphac_glu_found,valid
train,5ug8,EGFR,inactive,inactive,A,1,280,4,True,True,True,True,True
train,6xr7,ABL1,inactive,dfg_out_alphac_in,A,1,287,0,True,True,True,True,True
train,6xrg,ABL1,inactive,dfg_out_alphac_in,A,1,287,0,True,True,True,True,True
train,6xr6,ABL1,active,active,A,1,287,0,True,True,True,True,True
train,6uan,BRAF,inactive,dfg_in_alphac_out,C,1,284,1,True,True,True,True,True
train,6q0k,BRAF,active,active,B,1,280,5,True,True,True,True,True
train,6q0t,BRAF,active,active,A,1,279,5,True,True,True,True,True
train,6q0j,BRAF,active,active,A,1,280,5,True,True,True,True,True
train,5ug9,EGFR,inactive,inactive,A,1,280,4,True,True,True,True,True
train,6nyb,BRAF,inactive,dfg_in_alphac_out,A,1,348,158,True,True,True,True,True
train,8a27,EGFR,inactive,dfg_in_alphac_out,A,1,269,16,True,True,True,True,True
train,8a2d,EGFR,inactive,dfg_in_alphac_out,A,1,281,40,True,True,True,True,True
train,5hg8,EGFR,inactive,inactive,A,1,300,0,True,True,True,True,True
train,8a2a,EGFR,inactive,dfg_in_alphac_out,A,1,306,14,True,True,True,True,True
train,4gv1,AKT1,active,active,A,1,329,6,True,False,True,True,True
train,6tfv,EGFR,inactive,dfg_in_alphac_out,B,1,268,19,True,True,True,True,True
train,6tg0,EGFR,inactive,dfg_in_alphac_out,A,1,267,19,True,True,True,True,True
train,3poz,EGFR,inactive,dfg_in_alphac_out,A,1,293,24,True,True,True,True,True
train,5hg5,EGFR,inactive,inactive,A,1,302,0,True,True,True,True,True
train,5hu9,ABL1,inactive,dfg_out_alphac_in,A,1,267,6,True,True,True,True,True
train,4z55,ALK,active,active,A,1,294,13,True,True,True,True,True
train,5cno,EGFR,inactive,dfg_in_alphac_out,A,1,300,16,True,True,True,True,True
train,5ugc,EGFR,inactive,inactive,A,1,280,4,True,True,True,True,True
train,6tg1,EGFR,inactive,dfg_in_alphac_out,A,1,268,18,True,True,True,True,True
train,7si1,EGFR,active,active,A,1,280,47,True,True,True,True,True
train,5u8l,EGFR,inactive,inactive,A,1,289,0,True,True,True,True,True
train,5a9u,ALK,active,active,A,1,292,17,True,True,True,True,True
train,5ew8,FGFR1,active,active,B,1,290,15,True,True,True,True,True
train,8arj,ALK,active,active,A,1,275,22,True,True,True,True,True
train,4wun,FGFR1,active,active,A,1,282,19,True,True,True,True,True
